"","Object","velocity","orbits","size"
"400","(2002 XC91)",10.9610833333333,12,680
"401","(2002 XP40)",0.927933333333333,3,620
"402","(2002 XQ40)",6.40873333333333,15,200
"403","(2002 XS90)",11.0949,2,160
"404","(2002 XT90)",14.4119,12,1000
"405","(2002 YG4)",6.0202,1,94
"406","(2002 YO2)",3.1434,6,170
"407","(2003 AA3)",5.54457142857143,7,540
"408","(2003 AB23)",7.30112,10,620
"409","(2003 AC23)",8.7296,1,250
"410","(2003 AF23)",10.4229294117647,17,390
"411","(2003 AK73)",10.0502,4,750
"412","(2003 AY2)",8.917925,8,860
"413","(2003 BB21)",6.8975,8,390
"414","(2003 BK47)",12.5364,1,1600
"415","(2003 BM4)",4.5508,1,57
"416","(2003 BN4)",2.22410909090909,11,94
"417","(2003 BR47)",7.50152307692308,13,310
"418","(2003 CA4)",3.50897857142857,28,110
"419","(2003 CG11)",13.8373666666667,6,470
"420","(2003 CL18)",12.6914,1,450
"421","(2003 CQ20)",6.9595,4,490
"422","(2003 DF6)",8.85005714285714,7,340
"423","(2003 DW10)",5.70193333333333,3,36
"424","(2003 DY15)",6.26716666666667,6,33
"425","(2003 DZ15)",8.97650588235294,17,210
"426","(2003 EG16)",12.8918666666667,3,820
"427","(2003 EM1)",5.36211428571429,14,75
"428","(2003 EP4)",13.1048923076923,13,99
"429","(2003 EZ16)",2.409475,16,180
"430","(2003 FB5)",15.8658,1,120
"431","(2003 FF5)",4.95202857142857,14,140
"432","(2003 FJ8)",5.7412,1,27
"433","(2003 FU3)",7.58018888888889,18,390
"434","(2003 FY6)",8.49305652173913,46,200
"435","(2003 GB34)",14.4367,2,1000
"436","(2003 GH21)",6.88448,5,310
"437","(2003 GQ22)",6.0698,18,340
"438","(2003 HM)",8.74268888888889,18,220
"439","(2003 HN)",6.35706666666667,6,620
"440","(2003 HN16)",9.19253333333333,9,210
"441","(2003 HP32)",14.0533333333333,6,710
"442","(2003 HT42)",4.51947368421053,19,65
"443","(2003 HW10)",8.153,1,24
"444","(2003 JD17)",7.626,1,360
"445","(2003 JN14)",14.0492,7,750
"446","(2003 JO14)",4.6252,1,54
"447","(2003 JV14)",9.3558,1,300
"448","(2003 KQ18)",7.19716666666667,6,390
"449","(2003 LH)",4.469425,8,54
"450","(2003 LN6)",4.227625,8,71
"451","(2003 ME1)",9.08796,5,110
"452","(2003 MK4)",8.00301904761905,21,390
"453","(2003 MS2)",7.09195454545455,22,340
"454","(2003 MU)",6.20826666666667,6,490
"455","(2003 NL7)",3.57533333333333,3,590
"456","(2003 NW1)",9.20877142857143,7,1100
"457","(2003 OQ13)",5.38986666666667,6,520
"458","(2003 OT13)",4.76446153846154,13,130
"459","(2003 PC11)",8.3607,2,2200
"460","(2003 PN5)",4.4764,2,140
"461","(2003 QA)",12.5467333333333,3,1300
